img_id,fitzpatrick_scale,source
5e82a45bc5d78bd24ae9202d194423f8.jpg,3,fitzpatrick17k
fa2911a9b13b6f8af79cb700937cc14f.jpg,1,fitzpatrick17k
d2bac3c9e4499032ca8e9b07c7d3bc40.jpg,2,fitzpatrick17k
0a94359e7eaacd7178e06b2823777789.jpg,1,fitzpatrick17k
a39ec3b1f22c08a421fa20535e037bba.jpg,1,fitzpatrick17k
45f7fe0e10214e32e890cad9d29d4811.jpg,6,fitzpatrick17k
6c395be9325dbb10e55497304b398253.jpg,2,fitzpatrick17k
9dc73230c77ab5c58dc1f11caef39ea2.jpg,2,fitzpatrick17k
f23937e86de55c3471ac5d0143b67e08.jpg,4,fitzpatrick17k
09d46db9589ff45436cda87c4abc946b.jpg,3,fitzpatrick17k
e702b1a7dc40aa1d8e85ccdb019c4ab2.jpg,1,fitzpatrick17k
ddcad677b7b1e9084f3f51a8e026aa8d.jpg,5,fitzpatrick17k
b87804452f60aa162a6d29c0f66a2466.jpg,2,fitzpatrick17k
d1fb87ee7ee50f997cd6497dd90d6bbb.jpg,4,fitzpatrick17k
8438db40abd1eccfbc7ee4b469f1b6f1.jpg,4,fitzpatrick17k
2d57e08861beb72725ea40af58f9cd46.jpg,2,fitzpatrick17k
1e119546f5bc2b9165bb10ddd7fe5f69.jpg,5,fitzpatrick17k
4c3f795cf8eb72b946f9bd2642cf23c1.jpg,6,fitzpatrick17k
99247c9fe486aa9ab71686c8e676c135.jpg,2,fitzpatrick17k
b09233673fc585369e723ec841ed0acb.jpg,5,fitzpatrick17k
449d63bec3a88dc28c458d338c41cd0a.jpg,1,fitzpatrick17k
7a06b6baf5155ffe9baafa3b410402ec.jpg,4,fitzpatrick17k
fb9640a13e0c11610684fe8c0f473cf2.jpg,2,fitzpatrick17k
f968e591e15f47b544e551bc3cc5b8d3.jpg,2,fitzpatrick17k
2dd9b408e01e715ddd3d272d3465261f.jpg,4,fitzpatrick17k
076dbdc23a42e011f5871f1261c6e3b5.jpg,3,fitzpatrick17k
cd38c6d449b05025a1e68bd94d387f47.jpg,1,fitzpatrick17k
890cf5d791c7e738d156ec3ea95fae5d.jpg,1,fitzpatrick17k
9a3af1bc39e115bcc6931170cf8a00bb.jpg,2,fitzpatrick17k
9d5a90fa3f6934608add10e698001760.jpg,3,fitzpatrick17k
4235913d0b8803702095b54856a07702.jpg,1,fitzpatrick17k
a1af72c02caeb90947880eb024b23ae1.jpg,1,fitzpatrick17k
31749f92677e70999c28fe49fbc6dafc.jpg,2,fitzpatrick17k
5bd4fcff50e9a50c529080f03ab824a7.jpg,6,fitzpatrick17k
d2c77aa81ca884f99174471132bd3e24.jpg,1,fitzpatrick17k
e0c8193753f60351382d60934d4dbf1e.jpg,5,fitzpatrick17k
59ccb668671950ca657b6bc48213b763.jpg,4,fitzpatrick17k
a0adccb2c37a8ed14e0438ebf3d4f0d8.jpg,4,fitzpatrick17k
adc119731addaea687474d777ff1dc54.jpg,1,fitzpatrick17k
9a42fde8716c42154e9457180f08f9b0.jpg,3,fitzpatrick17k
9fbbb6fad5bdbf9476be1ec573a49ff5.jpg,5,fitzpatrick17k
fdfbcca21acc8015bfe3ab09b6e254b2.jpg,2,fitzpatrick17k
13adab488f0d546393badd628e6b0cab.jpg,2,fitzpatrick17k
b919dab66b3ec2964fb73865d241942d.jpg,2,fitzpatrick17k
e34646f6778dbdc86130a4babf62d01b.jpg,2,fitzpatrick17k
5f4376e41dff7efbbb53ca5b9928919d.jpg,5,fitzpatrick17k
3ebdf5bc47b0a5db96b1cb22841b0fa0.jpg,3,fitzpatrick17k
2b6ea0581d59b23e033bf2059c2ae6af.jpg,3,fitzpatrick17k
27778fee07afbc98a74b0012ba6f76ff.jpg,4,fitzpatrick17k
6d2fb27bbaf2691ea85fa2ad7f334060.jpg,2,fitzpatrick17k
970a43f132f9e171642f44f85112ea13.jpg,5,fitzpatrick17k
a199b3d2956018f8d8bf6c57fb2fca59.jpg,2,fitzpatrick17k
9fd9783c093d140d12bee4eaa67da1a0.jpg,3,fitzpatrick17k
77c8889c5b1f7ed6df703cb73296d60a.jpg,3,fitzpatrick17k
f1459b032c9853d78f2ba389040a3dad.jpg,2,fitzpatrick17k
6d4be984bf6407587a032f6080f099b2.jpg,6,fitzpatrick17k
a385043f505268bfad6448be4c018a68.jpg,4,fitzpatrick17k
6a37014ba090dce3237a1aeac8f5312a.jpg,2,fitzpatrick17k
56e697186c86b0eb09f19021ebe4b9a8.jpg,2,fitzpatrick17k
d908bdbcab52fd0c69a248cc43d200ad.jpg,2,fitzpatrick17k
f944b734a9fc37ff262da8b313300d25.jpg,1,fitzpatrick17k
23e9d3d002a88c0b3c5b9c5c95876d38.jpg,5,fitzpatrick17k
997d8434ffab55de06dc1759f4525d57.jpg,2,fitzpatrick17k
025074f01318b141392d5d8ae3824e8d.jpg,3,fitzpatrick17k
d60b7061146729d32cfe2fba4b089278.jpg,2,fitzpatrick17k
805e1d42b9f0af58c33fc1f9e2c6d0e4.jpg,2,fitzpatrick17k
3e9d90d0dbde2afe3fc1e0cd72f04379.jpg,2,fitzpatrick17k
bb18c8800c62e37bd21641ad30aa3982.jpg,3,fitzpatrick17k
dab1abcb214f3e1cf7b509fa75972eb7.jpg,4,fitzpatrick17k
9b39239bae217b6f29603dddf3f24d56.jpg,3,fitzpatrick17k
abd80d96eade01f32e5bf22a33a735b5.jpg,1,fitzpatrick17k
81c007db8cc1bc57cb08bcc00dda653b.jpg,2,fitzpatrick17k
5a3d754f30836ede76691cdf1b4f0cfb.jpg,3,fitzpatrick17k
a4fbf75b5f55d41fccfab653a7a1a5cf.jpg,4,fitzpatrick17k
677d022c11c0d454bf58e76ab26852f0.jpg,2,fitzpatrick17k
62f8df393e05fd7e1588d70891238f53.jpg,3,fitzpatrick17k
d6dfb47fe3c00e624af51b3548b8ee5e.jpg,4,fitzpatrick17k
3eb192d5b5c1d44b6f52ab1bc6f390e6.jpg,3,fitzpatrick17k
6d3346e06233d2445f6b19075facfaed.jpg,3,fitzpatrick17k
a45a2533b5e4ac6b482b4bc8439e4166.jpg,3,fitzpatrick17k
b8bf2ccc8ceeb97d4bc30c16d536834f.jpg,2,fitzpatrick17k
d98b961ecb24b31d672ca92d42fa644f.jpg,1,fitzpatrick17k
099c6e631e0f54a5a5ffe64dd938f21e.jpg,2,fitzpatrick17k
d6c626a40f77f7262353dc2db7e0b757.jpg,4,fitzpatrick17k
39b1853bbd7aee8beb2bd4be5bf0f922.jpg,2,fitzpatrick17k
78cdc95d817a9c8e5cbe32a481673125.jpg,5,fitzpatrick17k
04e8c9f72761f00075f2f70459d7027f.jpg,1,fitzpatrick17k
730a5db8eee84f8637f31c2eeefbea61.jpg,5,fitzpatrick17k
055754f56bd5a8c37c3b7e01ae2caa35.jpg,1,fitzpatrick17k
a7432cf3e4faf44ab58bcb093fb6a3bd.jpg,4,fitzpatrick17k
53d69b9f140ac6b48514141564dc6b2f.jpg,2,fitzpatrick17k
9838b6548e7842a1c228e9548a32099c.jpg,2,fitzpatrick17k
d565fec5dcef772cc1a7b9f76430eb77.jpg,4,fitzpatrick17k
a4c6b049eff3dc3080aa26feea752ef0.jpg,2,fitzpatrick17k
8185239ca8e7d43f60864717a59802cc.jpg,3,fitzpatrick17k
ff0ede16c336307290471d2418850a36.jpg,1,fitzpatrick17k
e30589561d48c95e0d2151ba7899d796.jpg,6,fitzpatrick17k
e5a50fd4d67e70c016bc34401ae08e7f.jpg,1,fitzpatrick17k
1616459eaaa8f79463b01fd100f419bf.jpg,2,fitzpatrick17k
fa325d43faa0082e6cc8987e8a6cede0.jpg,2,fitzpatrick17k
f228b0ed53a49770f269da5f3ee131c5.jpg,6,fitzpatrick17k
ade51126ebbb69e4e54a0bd325bd4086.jpg,5,fitzpatrick17k
a7821ca7a0f65f9095a61d66c234f683.jpg,1,fitzpatrick17k
ab02b84a847c6675775ecb9d04c75abd.jpg,1,fitzpatrick17k
7e8285c87bf045d7eb75042155632036.jpg,1,fitzpatrick17k
e39141991c0c03a7181d1842009ac951.jpg,5,fitzpatrick17k
9d5e4780260cf2955e3e0e783cb21247.jpg,2,fitzpatrick17k
9a29e78c932c9a463ab990dc59b44b83.jpg,3,fitzpatrick17k
a2170e425512ffeb28953fa26bb90e02.jpg,1,fitzpatrick17k
862d0d4096cacb124d4e0df53c32b0e0.jpg,2,fitzpatrick17k
204f57f5c4dd76c0841f106da6993d53.jpg,1,fitzpatrick17k
c8c63f5f347e408981de99a00cbd255d.jpg,3,fitzpatrick17k
6e7d4fbd43fdfa20e22779d9670762a5.jpg,6,fitzpatrick17k
2899a5ff1edde837ee2075d5e4384f97.jpg,1,fitzpatrick17k
eb817cc9a0a0d7d2728670a1cb1a38ec.jpg,2,fitzpatrick17k
81bd3e1d7fda006e6d130a25e8441fa3.jpg,3,fitzpatrick17k
5785d42ece39d61706ceea46a1b47ea9.jpg,2,fitzpatrick17k
0d4c5e2266a00cd127cd5a676ac872b5.jpg,3,fitzpatrick17k
a28915ae2984dd8523dc1e8ed460d242.jpg,1,fitzpatrick17k
1eb2cf388f9b1ab6b98056d81b1e6faf.jpg,3,fitzpatrick17k
72714f4963e82e6d9b7b4f99a4f3b32e.jpg,3,fitzpatrick17k
c699fbf373baa0193e9382d1a94d105e.jpg,1,fitzpatrick17k
dd893347ecc0a38a1460a1492c479f83.jpg,1,fitzpatrick17k
f83855461747896f3735a1263f4e6d1e.jpg,2,fitzpatrick17k
a6af09f2f26720fb272d2324e4f36bbe.jpg,1,fitzpatrick17k
ff08d6bc34e89c31d25f5d595672e5af.jpg,2,fitzpatrick17k
75b27297c5cba41f4fb660a3a5abe359.jpg,1,fitzpatrick17k
ceb92b604fa772074ea2e15273af99ec.jpg,3,fitzpatrick17k
af7a076b9992ff39499951a9479c78d5.jpg,4,fitzpatrick17k
9bd7df80683b11b327509b098bc366bd.jpg,2,fitzpatrick17k
7632dbe0380cd493b48ad81f898cfec0.jpg,1,fitzpatrick17k
c3833afba496feeb4153ed76ff2da85d.jpg,3,fitzpatrick17k
098b1289acbcc7237a4d17c37b88d937.jpg,3,fitzpatrick17k
24a4d75183c81800691347ad769b9a7b.jpg,4,fitzpatrick17k
5e44d665d68cca052a33dca12ad2bf29.jpg,2,fitzpatrick17k
c8bf8f5b83c8a4479c3b6323e6e28bb8.jpg,2,fitzpatrick17k
90e1e3e6dac586053b440d9b9b2ce167.jpg,1,fitzpatrick17k
6ca1410dd0b38f1486f5269d2be49b42.jpg,1,fitzpatrick17k
0858974037527bdd90c45aaefdb2064c.jpg,4,fitzpatrick17k
58e7594f5727cdfc362cf5b071520a1f.jpg,1,fitzpatrick17k
44bb284877cbebaeb393b2ed07606de5.jpg,3,fitzpatrick17k
e24b6a7a8307b30995d3828795397c81.jpg,2,fitzpatrick17k
08447c464a1134284f6e267a3dffdf6f.jpg,3,fitzpatrick17k
cf7918316713773a724895170d45688d.jpg,2,fitzpatrick17k
025aff11b975d92e39f0e65ba89f8603.jpg,3,fitzpatrick17k
4e3fa37ac5747130c2afdf3437d639e0.jpg,5,fitzpatrick17k
90a57906ad3e8c8d1583a661e616a1b0.jpg,2,fitzpatrick17k
43ff4f26e808270c6be266126a4b4cb4.jpg,3,fitzpatrick17k
88b87800934bda09b281e222ca5cee12.jpg,2,fitzpatrick17k
795dd8845c62f96c18470c8339f2a34a.jpg,1,fitzpatrick17k
ba24273241dcd9ba0640598c12da6592.jpg,2,fitzpatrick17k
40d116307efa811714d5d738d1f9ada5.jpg,4,fitzpatrick17k
eb0cbb277ba6b206c5fafc66ab8c46f9.jpg,5,fitzpatrick17k
a880299b86db8937c1644853833966c3.jpg,4,fitzpatrick17k
ef6840d838979ca91fc496ec95059ab8.jpg,2,fitzpatrick17k
bd5d73faf4c02f8f2eb63bd627ae54b8.jpg,5,fitzpatrick17k
8b963a49787af17b8581d58099bb55f2.jpg,1,fitzpatrick17k
c655891a3f47b4a2788d9d6013778ab8.jpg,5,fitzpatrick17k
45005e10b9ecc6241aa723a8c33086ed.jpg,1,fitzpatrick17k
1de39fac287b00cb50988581078afc37.jpg,1,fitzpatrick17k
f52e0c86106999931be858599426e648.jpg,2,fitzpatrick17k
36c389cbfb82b07a772e0a4f7b13cc19.jpg,1,fitzpatrick17k
4182b215548b3db336660d7fc04eccf4.jpg,2,fitzpatrick17k
9aaee7c5c51035a4171611b76a97cf8b.jpg,2,fitzpatrick17k
b4eee9017b7042910f9b3d6de181da4b.jpg,1,fitzpatrick17k
8903983f10e1f3f2ea8f9eff65097f91.jpg,3,fitzpatrick17k
23ca2b5bdef55b891b276df1c82e9be2.jpg,4,fitzpatrick17k
2247bd08954e660c9bf9a813576a972b.jpg,3,fitzpatrick17k
a35700c1790244b4b235136f28b94ef8.jpg,1,fitzpatrick17k
c189dc271fd1ac6dd7c389e43129368e.jpg,2,fitzpatrick17k
521b4c4aba2b57da8e5318371117e01a.jpg,3,fitzpatrick17k
8fdb7ba5870799117a242bec36ee7a0d.jpg,2,fitzpatrick17k
